WORKFLOW TYPE,WORKFLOW ID,CORRELATION_ID,CREATED ON,MODIFIED ON,SUBWORKFLOWS,MOST RECENT SUBWORKFLOW TYPE,SUBWORKFLOW,CREATED ON,DEPENDS ON TASK TYPE,DEPENDS ON TASK ID
SSO_RPM_CARE_GAP_WF,021fe8f4-8b59-49f7-8813-80a25725f970,6348,8/31/2020 10:49,8/31/2020 11:0,133,SSO_RPM_CHECK_IF_HOME_PLAN_ACK_LOOP_WF,6527fa9b-7a9e-4d78-b897-7e429867d0b6,2/14/2021 14:0,SSO_RPM_DELAY_TASK,da0b2749-b2d6-4caa-9e53-0c673b4b0221
SSO_RPM_CARE_GAP_WF,02b991ff-8044-4326-8c6c-7dd270f86e51,1189,8/31/2020 10:40,8/31/2020 10:42,278,SSO_RPM_CARE_GAP_CHECK_MR_INTERNAL_LOOP_WF,6b3633ce-c249-4f33-92a1-0a562fdbdb7b,2/15/2021 18:35,SSO_RPM_DELAY_TASK,d93b7d1a-89bd-4ee7-a760-3b35263d807b
SSO_RPM_CARE_GAP_WF,03dc4764-4444-4d8f-ae13-fc9626bb553e,1407,8/31/2020 10:41,8/31/2020 10:43,277,SSO_RPM_CARE_GAP_CHECK_MR_INTERNAL_LOOP_WF,b14f37c1-42a7-4553-82ea-c8e5f2cdb8e6,2/15/2021 18:46,SSO_RPM_DELAY_TASK,b69e52dc-09b7-49d2-8380-7b7ce7b1dd18
SSO_RPM_CARE_GAP_WF,04a81a04-d336-473f-907f-47d124fb8b63,4382,8/31/2020 10:46,8/31/2020 10:53,276,SSO_RPM_CHECK_IF_HOME_PLAN_ACK_LOOP_WF,fbcaaa19-71d3-4894-be8e-2740de31e0ae,2/14/2021 13:53,SSO_RPM_DELAY_TASK,ca2fc303-703b-492b-b2f5-b0dd26d1c58f
SSO_RPM_CARE_GAP_WF,0519d4b6-baf8-4615-a719-6284a5aefcb1,2786,8/31/2020 10:43,8/31/2020 10:47,274,SSO_RPM_CHECK_IF_HOME_PLAN_ACK_LOOP_WF,5531e968-71ba-4212-ae6e-dadca1f47297,2/14/2021 13:58,SSO_RPM_DELAY_TASK,984ef4bd-c96b-46b9-87da-85cfa3c43d6d
SSO_RPM_CARE_GAP_WF,056e84f8-1cd2-4395-bda9-e6e1780fd929,9288,8/31/2020 10:54,8/31/2020 11:11,134,SSO_RPM_CHECK_IF_HOME_PLAN_ACK_LOOP_WF,1329f66d-cb9d-4c28-8e92-61a33217f6f6,2/14/2021 13:57,SSO_RPM_DELAY_TASK,9c4534a4-293b-4712-93a6-32ec4836cee8
SSO_RPM_CARE_GAP_WF,07d65cd1-b3ef-467a-a3f4-08a3c20edfb7,8831,8/31/2020 10:53,8/31/2020 11:9,134,SSO_RPM_CHECK_IF_HOME_PLAN_ACK_LOOP_WF,d95d4cce-3ce2-4399-9fdc-9491056ac5d9,2/14/2021 13:59,SSO_RPM_DELAY_TASK,36e43189-8dc0-4042-8278-bf484e978c8a
SSO_RPM_CARE_GAP_WF,07e6ba2c-1d38-4ab6-8fff-34ae9ca2b295,3984,8/31/2020 10:45,8/31/2020 10:51,271,SSO_RPM_CARE_GAP_CHECK_MR_INTERNAL_LOOP_WF,075ed5eb-6203-478b-af13-50e06762aa86,2/15/2021 15:8,SSO_RPM_DELAY_TASK,ccd48111-4a73-49c9-ae2a-f075928aac33
SSO_RPM_CARE_GAP_WF,0de38634-66fd-412b-97e7-e45b4a1ea286,2558,8/31/2020 10:43,8/31/2020 10:47,272,SSO_RPM_CHECK_IF_HOME_PLAN_ACK_LOOP_WF,216ea5f7-e4c8-4ccf-9a0c-d2a40d7dcd3d,2/14/2021 12:51,SSO_RPM_DELAY_TASK,9ade9210-396a-4131-9ce4-a066444a5f27
SSO_RPM_CARE_GAP_WF,10a9bf51-e418-4b5f-a182-c4899d44d875,3007,8/31/2020 10:43,8/31/2020 10:48,278,SSO_RPM_CHECK_IF_HOME_PLAN_ACK_LOOP_WF,8e8dc557-a77c-4800-bc39-36aaafafbc8a,2/14/2021 13:1,SSO_RPM_DELAY_TASK,e86f32e7-e32e-4a63-965c-e9248e6b0e4b
